# 世界银行 WDI · SP.DYN.LE00.IN · 2023 年 · 取数 2026-09-10
iso3,name_en,region_en,years
PYF,French Polynesia,East Asia & Pacific,84.07
QAT,Qatar,"Middle East, North Africa, Afghanistan & Pakistan",82.37
ROU,Romania,Europe & Central Asia,76.4
RUS,Russian Federation,Europe & Central Asia,73.25
RWA,Rwanda,Sub-Saharan Africa ,67.78
SAU,Saudi Arabia,"Middle East, North Africa, Afghanistan & Pakistan",78.73
SDN,Sudan,Sub-Saharan Africa ,66.33
SEN,Senegal,Sub-Saharan Africa ,68.68
SGP,Singapore,East Asia & Pacific,83.1
SLB,Solomon Islands,East Asia & Pacific,70.53
SLE,Sierra Leone,Sub-Saharan Africa ,61.79
SLV,El Salvador,Latin America & Caribbean ,72.1
SMR,San Marino,Europe & Central Asia,85.71
SOM,"Somalia, Fed. Rep.",Sub-Saharan Africa ,58.82
SRB,Serbia,Europe & Central Asia,76.14
SSD,South Sudan,Sub-Saharan Africa ,57.62
STP,Sao Tome and Principe,Sub-Saharan Africa ,69.72
SUR,Suriname,Latin America & Caribbean ,73.63
SVK,Slovak Republic,Europe & Central Asia,78.12
SVN,Slovenia,Europe & Central Asia,81.93
SWE,Sweden,Europe & Central Asia,83.31
SWZ,Eswatini,Sub-Saharan Africa ,64.12
SXM,Sint Maarten (Dutch part),Latin America & Caribbean ,76.37
SYC,Seychelles,Sub-Saharan Africa ,75.42
SYR,Syrian Arab Republic,"Middle East, North Africa, Afghanistan & Pakistan",72.12
TCA,Turks and Caicos Islands,Latin America & Caribbean ,78.01
TCD,Chad,Sub-Saharan Africa ,55.07
TGO,Togo,Sub-Saharan Africa ,62.74
THA,Thailand,East Asia & Pacific,76.41
TJK,Tajikistan,Europe & Central Asia,71.79
TKM,Turkmenistan,Europe & Central Asia,70.07
TLS,Timor-Leste,East Asia & Pacific,67.69
TON,Tonga,East Asia & Pacific,72.89
TTO,Trinidad and Tobago,Latin America & Caribbean ,73.49
TUN,Tunisia,"Middle East, North Africa, Afghanistan & Pakistan",76.51
TUR,Turkiye,Europe & Central Asia,77.16
TUV,Tuvalu,East Asia & Pacific,67.11
TZA,Tanzania,Sub-Saharan Africa ,67.0
UGA,Uganda,Sub-Saharan Africa ,68.25
UKR,Ukraine,Europe & Central Asia,73.42
URY,Uruguay,Latin America & Caribbean ,78.14
USA,United States,North America,78.39
UZB,Uzbekistan,Europe & Central Asia,72.39
VCT,St. Vincent and the Grenadines,Latin America & Caribbean ,71.23
VEN,"Venezuela, RB",Latin America & Caribbean ,72.51
VGB,British Virgin Islands,Latin America & Caribbean ,77.28
VIR,Virgin Islands (U.S.),Latin America & Caribbean ,80.52
VNM,Viet Nam,East Asia & Pacific,74.59
VUT,Vanuatu,East Asia & Pacific,71.48
WSM,Samoa,East Asia & Pacific,71.7
XKX,Kosovo,Europe & Central Asia,78.03
YEM,"Yemen, Rep.","Middle East, North Africa, Afghanistan & Pakistan",69.3
ZAF,South Africa,Sub-Saharan Africa ,66.14
ZMB,Zambia,Sub-Saharan Africa ,66.35
ZWE,Zimbabwe,Sub-Saharan Africa ,62.77
